GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.apache.cassandra.gms,Gossiper.GossipTask,19,75,3,5,4,18,3,3,0,2
JaCoCo Ant Example,org.apache.cassandra.gms,TokenSerializer,9,72,3,7,0,19,4,5,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestSynSerializer,22,36,0,0,4,10,1,3,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestSerializer,21,32,0,0,4,9,1,3,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestAckSerializer,44,79,2,4,6,17,2,5,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,VersionedValue.VersionedValueFactory,181,143,0,0,17,23,11,16,11,16
JaCoCo Ant Example,org.apache.cassandra.gms,GossipShutdownVerbHandler,6,15,1,1,2,5,1,3,0,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestSerializationHelper,29,45,2,4,5,9,3,4,2,2
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigest,36,37,1,1,8,11,2,6,1,6
JaCoCo Ant Example,org.apache.cassandra.gms,ArrivalWindow,35,108,8,10,5,26,10,7,2,6
JaCoCo Ant Example,org.apache.cassandra.gms,VersionedValue.VersionedValueSerializer,11,27,0,0,1,7,1,3,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,VersionGenerator,3,9,0,0,1,2,1,2,1,2
JaCoCo Ant Example,org.apache.cassandra.gms,EchoMessage,0,9,0,0,0,2,0,1,0,1
JaCoCo Ant Example,org.apache.cassandra.gms,HeartBeatStateSerializer,9,20,0,0,1,5,1,3,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestSynVerbHandler,115,181,18,16,22,38,13,8,0,4
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestAck2Serializer,35,69,2,4,5,15,2,5,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestAck2,0,14,0,0,0,5,0,3,0,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestAck2VerbHandler,14,25,4,2,5,8,3,3,0,3
JaCoCo Ant Example,org.apache.cassandra.gms,Gossiper.new Comparator() {...},0,12,0,0,0,2,0,2,0,2
JaCoCo Ant Example,org.apache.cassandra.gms,Gossiper.new ArrayList() {...},18,0,0,0,5,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.gms,Gossiper.new IAsyncCallback() {...},0,28,0,0,0,4,0,4,0,4
JaCoCo Ant Example,org.apache.cassandra.gms,VersionedValue,29,49,3,3,2,12,5,5,2,5
JaCoCo Ant Example,org.apache.cassandra.gms,HeartBeatState,24,33,0,0,3,13,2,7,2,7
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestAck,0,20,0,0,0,7,0,4,0,4
JaCoCo Ant Example,org.apache.cassandra.gms,Gossiper.Props,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.gms,ArrayBackedBoundedStats,23,64,3,3,4,15,4,4,1,4
JaCoCo Ant Example,org.apache.cassandra.gms,EndpointState,30,185,7,13,4,46,9,21,2,18
JaCoCo Ant Example,org.apache.cassandra.gms,EchoMessage.EchoMessageSerializer,2,6,0,0,1,3,1,3,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestSyn,0,20,0,0,0,7,0,3,0,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestAckVerbHandler,25,130,13,17,8,29,11,7,0,3
JaCoCo Ant Example,org.apache.cassandra.gms,Gossiper,1526,1806,215,183,311,446,188,104,33,60
JaCoCo Ant Example,org.apache.cassandra.gms,EndpointStateSerializer,49,88,2,4,9,19,2,5,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,ApplicationState,0,254,0,0,0,26,0,1,0,1
JaCoCo Ant Example,org.apache.cassandra.gms,FailureDetector,578,209,49,21,100,53,44,13,12,10
JaCoCo Ant Example,org.apache.cassandra.utils.vint,VIntCoding.new FastThreadLocal() {...},0,6,0,0,0,2,0,2,0,2
JaCoCo Ant Example,org.apache.cassandra.utils.vint,VIntCoding,102,121,10,6,26,25,12,12,7,9
JaCoCo Ant Example,org.apache.cassandra.db.rows,Unfiltered,6,15,1,3,1,2,2,3,1,2
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIterator,0,15,1,5,0,3,1,3,0,1
JaCoCo Ant Example,org.apache.cassandra.db.rows,CellPath,82,48,15,5,16,9,12,5,3,4
JaCoCo Ant Example,org.apache.cassandra.db.rows,NativeCell,285,0,30,0,51,0,29,0,14,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIterators.new WrappingUnfilteredRowIterator() {...},27,0,4,0,6,0,5,0,3,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIterators.new AbstractUnfilteredRowIterator() {...},29,0,2,0,6,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,EncodingStats,90,138,15,13,6,24,12,8,3,3
JaCoCo Ant Example,org.apache.cassandra.db.rows,ColumnDefinitionVersionComparator,67,42,12,6,5,9,9,2,0,2
JaCoCo Ant Example,org.apache.cassandra.db.rows,BTreeRow.new AbstractCollection() {...},0,15,0,0,0,3,0,3,0,3
JaCoCo Ant Example,org.apache.cassandra.db.rows,CellPath.EmptyCellPath,8,2,0,0,3,1,3,1,3,1
JaCoCo Ant Example,org.apache.cassandra.db.rows,RowIterators,57,75,4,4,8,19,5,3,2,2
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIteratorSerializer.new AbstractUnfilteredRowIterator() {...},6,44,0,2,2,4,0,3,0,2
JaCoCo Ant Example,org.apache.cassandra.db.rows,AbstractCell,436,110,53,21,54,24,39,16,10,8
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIterators,205,40,23,5,34,8,21,5,8,4
JaCoCo Ant Example,org.apache.cassandra.db.rows,Row.Merger,67,172,20,18,16,36,18,8,3,4
JaCoCo Ant Example,org.apache.cassandra.db.rows,Rows,359,389,79,61,67,81,48,32,3,7
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIteratorWithLowerBound,177,234,25,31,22,52,20,24,0,16
JaCoCo Ant Example,org.apache.cassandra.db.rows,BTreeRow.Builder,84,198,10,20,13,50,12,18,3,12
JaCoCo Ant Example,org.apache.cassandra.db.rows,Row.Merger.ColumnDataReducer,4,193,5,23,0,47,5,15,0,6
JaCoCo Ant Example,org.apache.cassandra.db.rows,ComplexColumnData.Builder,2,53,1,5,1,13,1,7,0,5
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIterators.UnfilteredRowMergeIterator,101,251,25,29,21,56,22,16,1,10
JaCoCo Ant Example,org.apache.cassandra.db.rows,RowAndDeletionMergeIterator,69,269,17,39,10,62,16,26,0,14
JaCoCo Ant Example,org.apache.cassandra.db.rows,AbstractRow,490,70,49,7,86,17,37,8,11,6
JaCoCo Ant Example,org.apache.cassandra.db.rows,RangeTombstoneBoundMarker,215,12,20,0,38,5,27,3,17,3
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIterators.new Transformation() {...},39,0,0,0,12,0,5,0,5,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,RowIterator,11,0,4,0,1,0,3,0,1,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,Unfiltered.Kind,0,24,0,0,0,1,0,1,0,1
JaCoCo Ant Example,org.apache.cassandra.db.rows,LazilyInitializedUnfilteredRowIterator,7,75,3,5,1,24,3,13,1,11
JaCoCo Ant Example,org.apache.cassandra.db.rows,BufferCell,78,152,7,15,6,24,13,16,6,12
JaCoCo Ant Example,org.apache.cassandra.db.rows,RangeTombstoneMarker,2,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,BTreeRow.CellInLegacyOrderIterator,219,0,24,0,33,0,20,0,8,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,Row.Merger.CellReducer,6,32,2,2,0,12,2,5,0,5
JaCoCo Ant Example,org.apache.cassandra.db.rows,Rows.new MergeIterator.Reducer() {...},276,0,40,0,44,0,24,0,4,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,BTreeRow.Builder.CellResolver,35,128,9,19,3,29,8,9,0,3
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIteratorSerializer,185,244,33,27,31,53,26,13,1,8
JaCoCo Ant Example,org.apache.cassandra.db.rows,AbstractRangeTombstoneMarker,46,11,4,0,11,5,8,3,6,3
JaCoCo Ant Example,org.apache.cassandra.db.rows,RangeTombstoneBoundaryMarker,342,0,48,0,50,0,48,0,24,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,WrappingUnfilteredRowIterator,47,0,0,0,14,0,11,0,11,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,Cells,183,169,39,36,43,44,29,17,2,6
JaCoCo Ant Example,org.apache.cassandra.db.rows,CellPath.SingleItemCellPath,6,41,3,3,0,10,3,6,0,6
JaCoCo Ant Example,org.apache.cassandra.db.rows,BTreeRow.CellIterator,0,53,0,8,0,13,0,6,0,2
JaCoCo Ant Example,org.apache.cassandra.db.rows,EncodingStats.Serializer,0,68,0,0,0,12,0,4,0,4
JaCoCo Ant Example,org.apache.cassandra.db.rows,RowIterators.new Transformation() {...},34,0,2,0,6,0,4,0,3,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIterators.UnfilteredRowMergeIterator.MergeReducer,38,78,8,6,5,19,7,5,1,4
JaCoCo Ant Example,org.apache.cassandra.db.rows,CounterCells,8,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,BTreeRow,331,617,77,77,42,116,66,69,15,43
JaCoCo Ant Example,org.apache.cassandra.db.rows,EncodingStats.Collector,6,147,2,18,2,41,3,18,1,10
JaCoCo Ant Example,org.apache.cassandra.db.rows,SerializationHelper.Flag,0,34,0,0,0,2,0,1,0,1
JaCoCo Ant Example,org.apache.cassandra.db.rows,WithOnlyQueriedData,20,0,0,0,6,0,4,0,4,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,AbstractUnfilteredRowIterator,0,46,0,0,0,17,0,9,0,9
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIterators.new MoreRows() {...},20,0,2,0,6,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredSerializer,802,657,140,90,150,152,103,50,15,23
JaCoCo Ant Example,org.apache.cassandra.db.rows,SerializationHelper,58,148,25,27,3,27,18,20,1,11
JaCoCo Ant Example,org.apache.cassandra.db.rows,ComplexColumnData,286,189,52,26,38,33,46,21,15,13
JaCoCo Ant Example,org.apache.cassandra.db.rows,Cell.Serializer,216,253,73,63,36,50,47,27,2,4
JaCoCo Ant Example,org.apache.cassandra.db.rows,RangeTombstoneMarker.Merger,141,89,29,9,26,26,19,8,2,6
JaCoCo Ant Example,org.apache.cassandra.db.rows,Cell,4,32,2,2,1,8,2,3,0,3
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIteratorSerializer.Header,43,24,0,0,2,9,1,1,1,1
JaCoCo Ant Example,org.apache.cassandra.db.rows,ColumnData,0,18,0,0,0,5,0,4,0,4
JaCoCo Ant Example,org.apache.cassandra.db.rows,BTreeRow.Builder.ComplexColumnDeletion,0,11,0,0,0,2,0,1,0,1
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIterators.new Transformation() {...},52,0,2,0,8,0,5,0,4,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,Row.Deletion,89,79,17,5,8,19,16,12,5,12
JaCoCo Ant Example,org.apache.cassandra.index.internal,IndexEntry,18,0,0,0,7,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.index.internal,CollatedViewIndexBuilder,66,0,4,0,18,0,5,0,3,0
JaCoCo Ant Example,org.apache.cassandra.index.internal,CassandraIndex,1042,0,98,0,209,0,110,0,56,0
JaCoCo Ant Example,org.apache.cassandra.index.internal,CassandraIndexSearcher,309,0,26,0,60,0,20,0,7,0
JaCoCo Ant Example,org.apache.cassandra.index.internal,CassandraIndex.new Index.Indexer() {...},343,0,52,0,68,0,41,0,15,0
JaCoCo Ant Example,org.apache.cassandra.index.internal,CassandraIndexFunctions,53,0,2,0,11,0,4,0,3,0
JaCoCo Ant Example,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},27,0,0,0,4,0,3,0,3,0
JaCoCo Ant Example,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},14,0,0,0,3,0,3,0,3,0
JaCoCo Ant Example,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},43,0,2,0,7,0,5,0,4,0
JaCoCo Ant Example,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},57,0,4,0,10,0,5,0,3,0
JaCoCo Ant Example,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},9,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},9,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},9,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.exceptions,TimeQuotaExceededException,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.db.columniterator,SSTableIterator.ForwardReader,51,147,14,28,10,41,14,14,0,7
JaCoCo Ant Example,org.apache.cassandra.db.columniterator,SSTableReversedIterator.ReusablePartitionData,82,0,2,0,18,0,5,0,4,0
JaCoCo Ant Example,org.apache.cassandra.db.columniterator,AbstractSSTableIterator,205,215,55,25,46,53,39,18,2,15
JaCoCo Ant Example,org.apache.cassandra.db.columniterator,SSTableIterator.ForwardIndexedReader,189,0,38,0,43,0,24,0,5,0
JaCoCo Ant Example,org.apache.cassandra.db.columniterator,AbstractSSTableIterator.NoRowsReader,16,0,0,0,6,0,4,0,4,0
JaCoCo Ant Example,org.apache.cassandra.db.columniterator,SSTableIterator,11,43,2,2,0,8,2,5,0,5
JaCoCo Ant Example,org.apache.cassandra.db.columniterator,SSTableReversedIterator.ReverseReader,463,0,110,0,93,0,65,0,10,0
JaCoCo Ant Example,org.apache.cassandra.db.columniterator,SSTableReversedIterator,60,0,4,0,8,0,7,0,5,0
JaCoCo Ant Example,org.apache.cassandra.db.columniterator,SSTableReversedIterator.SkipLastIterator,29,0,4,0,7,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.db.columniterator,SSTableReversedIterator.ReverseIndexedReader,251,0,42,0,52,0,28,0,7,0
JaCoCo Ant Example,org.apache.cassandra.db.columniterator,AbstractSSTableIterator.Reader,82,78,10,8,21,17,10,7,2,6
JaCoCo Ant Example,org.apache.cassandra.db.columniterator,AbstractSSTableIterator.IndexState,390,0,62,0,74,0,47,0,16,0
JaCoCo Ant Example,org.apache.cassandra.utils.obs,OpenBitSet,943,8,82,0,162,1,72,1,31,1
JaCoCo Ant Example,org.apache.cassandra.utils.obs,BitUtil,3604,0,80,0,381,0,56,0,16,0
JaCoCo Ant Example,org.apache.cassandra.utils.obs,OffHeapBitSet,257,218,9,5,45,35,15,9,10,7
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,CompactionHistoryHolder.CompactionHistoryRow,89,0,0,0,21,0,3,0,3,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,TpStatsPrinter,23,0,3,0,5,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,TableStatsPrinter.DefaultPrinter,513,0,18,0,56,0,10,0,1,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,CompactionHistoryPrinter.DefaultPrinter,121,0,8,0,24,0,6,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,StatsPrinter.YamlPrinter,22,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,TpStatsHolder,145,0,4,0,20,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,TpStatsPrinter.DefaultPrinter,166,0,10,0,20,0,7,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,StatsPrinter.JsonPrinter,16,0,0,0,5,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,StatsKeyspace,136,0,8,0,18,0,8,0,4,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,TableStatsPrinter,24,0,3,0,5,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,TableStatsHolder.OptionFilter,237,0,32,0,36,0,21,0,5,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,CompactionHistoryPrinter,23,0,3,0,5,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,StatsTable,26,0,0,0,8,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,TableStatsHolder,960,0,56,0,175,0,32,0,4,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool.stats,CompactionHistoryHolder,112,0,6,0,28,0,5,0,2,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.memory,TrieMemIndex.ConcurrentTrie,100,0,10,0,24,0,9,0,4,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.memory,KeyRangeIterator,67,0,6,0,12,0,7,0,4,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.memory,TrieMemIndex.ConcurrentSuffixTrie,63,0,6,0,11,0,8,0,4,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.memory,SkipListMemIndex,142,0,20,0,27,0,15,0,5,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.memory,KeyRangeIterator.DKToken.new TreeSet() {...},15,0,0,0,3,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.memory,IndexMemtable,88,0,10,0,17,0,9,0,4,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.memory,TrieMemIndex,120,0,7,0,25,0,8,0,4,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.memory,KeyRangeIterator.DKIterator,19,0,2,0,4,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.memory,KeyRangeIterator.DKToken,103,0,14,0,18,0,12,0,5,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.memory,TrieMemIndex.ConcurrentPrefixTrie,58,0,5,0,10,0,7,0,4,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.memory,TrieMemIndex.SizeEstimatingNodeFactory,75,0,2,0,14,0,7,0,6,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.memory,MemIndex,24,0,2,0,5,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.db,ClusteringBoundary,71,0,8,0,12,0,12,0,8,0
JaCoCo Ant Example,org.apache.cassandra.db,ReadCommand.Serializer,83,230,19,19,6,43,20,10,1,10
JaCoCo Ant Example,org.apache.cassandra.db,WriteResponse,7,9,0,0,1,2,1,1,1,1
JaCoCo Ant Example,org.apache.cassandra.db,Slices.SelectAllSlices.new Slices.InOrderTester() {...},4,3,0,0,2,1,2,1,2,1
JaCoCo Ant Example,org.apache.cassandra.db,ReadResponse.LocalDataResponse,6,26,0,0,2,5,0,2,0,2
JaCoCo Ant Example,org.apache.cassandra.db,DataRange,267,56,36,0,43,13,31,10,13,10
JaCoCo Ant Example,org.apache.cassandra.db,Directories.new Comparator() {...},6,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,org.apache.cassandra.db,Directories.new FileFilter() {...},44,0,8,0,6,0,6,0,2,0
JaCoCo Ant Example,org.apache.cassandra.db,RangeSliceVerbHandler,0,5,0,0,0,2,0,2,0,2
JaCoCo Ant Example,org.apache.cassandra.db,Memtable.StatsCollector,1,30,1,1,1,7,1,3,0,3
JaCoCo Ant Example,org.apache.cassandra.db,ColumnFamilyStoreCQLHelper.new Consumer() {...},22,0,2,0,4,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.db,MutableDeletionInfo.Builder,67,24,11,1,10,7,7,3,1,3
JaCoCo Ant Example,org.apache.cassandra.db,UnknownColumnFamilyException,7,0,0,0,3,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.db,ColumnFamilyStore.Flush.new WrappedRunnable() {...},0,19,0,0,0,4,0,2,0,2
JaCoCo Ant Example,org.apache.cassandra.db,ClockAndCount,91,0,8,0,16,0,11,0,7,0
JaCoCo Ant Example,org.apache.cassandra.db,ReadQuery.new ReadQuery() {...},18,7,0,0,7,3,7,3,7,3
JaCoCo Ant Example,org.apache.cassandra.db,PreHashedDecoratedKey,0,22,0,0,0,7,0,2,0,2
JaCoCo Ant Example,org.apache.cassandra.db,MigrationRequestVerbHandler,19,7,0,0,5,2,1,2,1,2
JaCoCo Ant Example,org.apache.cassandra.db,UnfilteredDeserializer.OldFormatDeserializer.Stash,9,0,0,0,4,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.db,ReadCommand.SelectionDeserializer,0,3,0,0,0,1,0,1,0,1
JaCoCo Ant Example,org.apache.cassandra.db,RowIndexEntry.ShallowIndexedEntry,268,0,8,0,60,0,16,0,12,0
JaCoCo Ant Example,org.apache.cassandra.db,SimpleBuilders,22,55,8,12,2,9,7,6,0,3
JaCoCo Ant Example,org.apache.cassandra.db,Columns,111,385,26,38,20,72,26,39,7,26
JaCoCo Ant Example,org.apache.cassandra.db,Serializers.new ISerializer() {...},134,0,22,0,25,0,17,0,6,0
JaCoCo Ant Example,org.apache.cassandra.db,DiskBoundaries,126,147,29,17,17,26,23,11,4,7
JaCoCo Ant Example,org.apache.cassandra.db,ReadResponse.Serializer,236,84,57,13,40,24,35,4,0,4
JaCoCo Ant Example,org.apache.cassandra.db,WriteType,0,84,0,0,0,9,0,1,0,1
JaCoCo Ant Example,org.apache.cassandra.db,ColumnFamilyStore.new Runnable() {...},11,32,2,1,3,6,2,2,0,2
JaCoCo Ant Example,org.apache.cassandra.db,ColumnFamilyStore.new Callable() {...},24,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.db,ColumnFamilyStore.new WrappedRunnable() {...},30,6,4,0,8,1,3,1,1,1
JaCoCo Ant Example,org.apache.cassandra.db,ColumnFamilyStore.new Runnable() {...},28,3,4,0,4,1,3,1,1,1
JaCoCo Ant Example,org.apache.cassandra.db,ColumnFamilyStore.new Runnable() {...},65,0,2,0,12,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.db,ColumnFamilyStore.new Callable() {...},59,0,10,0,7,0,8,0,3,0
JaCoCo Ant Example,org.apache.cassandra.db,ReadCommand,131,255,16,8,20,65,14,23,2,23
JaCoCo Ant Example,org.apache.cassandra.db,Slices.Builder.new Comparator() {...},28,0,2,0,5,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.db,PartitionPosition.ForKey,6,10,2,2,1,1,3,1,1,1
JaCoCo Ant Example,org.apache.cassandra.db,EmptyIterators.EmptyPartitionIterator,0,5,0,0,0,1,0,1,0,1
JaCoCo Ant Example,org.apache.cassandra.db,TruncateVerbHandler,90,7,2,0,18,2,3,2,2,2
JaCoCo Ant Example,org.apache.cassandra.db,ExpirationDateOverflowHandling.ExpirationDateOverflowPolicy,0,34,0,0,0,2,0,1,0,1
JaCoCo Ant Example,org.apache.cassandra.db,UnfilteredDeserializer.OldFormatDeserializer.UnfilteredIterator,198,0,30,0,48,0,23,0,8,0
JaCoCo Ant Example,org.apache.cassandra.db,TruncationSerializer,30,3,0,0,7,1,3,1,3,1
JaCoCo Ant Example,org.apache.cassandra.db,EmptyIterators.EmptyUnfilteredRowIterator,13,14,4,0,2,4,4,2,2,2
JaCoCo Ant Example,org.apache.cassandra.db,CompactTables,45,36,10,4,7,5,9,4,2,4
JaCoCo Ant Example,org.apache.cassandra.db,ConsistencyLevel,651,300,102,18,120,49,75,16,10,13
JaCoCo Ant Example,org.apache.cassandra.db,Truncation,35,5,0,0,6,1,3,1,3,1
JaCoCo Ant Example,org.apache.cassandra.db,EmptyIterators,26,34,2,2,4,8,5,3,3,3
JaCoCo Ant Example,org.apache.cassandra.db,Slices.ArrayBackedSlices,457,51,69,3,85,11,44,6,8,6
JaCoCo Ant Example,org.apache.cassandra.db,ReadCommand.LegacyType,48,0,4,0,8,0,6,0,4,0
JaCoCo Ant Example,org.apache.cassandra.db,RowIndexEntry.IndexedEntry,424,0,26,0,90,0,27,0,14,0
JaCoCo Ant Example,org.apache.cassandra.db,Memtable.LastCommitLogPosition,0,7,0,0,0,2,0,1,0,1
JaCoCo Ant Example,org.apache.cassandra.db,ReadResponse.LegacyRemoteDataResponse.new AbstractUnfilteredPartitionIterator() {...},71,0,4,0,10,0,7,0,5,0
JaCoCo Ant Example,org.apache.cassandra.db,RowIndexEntry.Serializer,185,79,36,8,37,21,29,8,5,8
JaCoCo Ant Example,org.apache.cassandra.db,ExpirationDateOverflowHandling,113,41,11,4,13,13,8,4,1,3
JaCoCo Ant Example,org.apache.cassandra.db,Slices.Serializer,133,3,22,0,28,1,14,1,3,1
JaCoCo Ant Example,org.apache.cassandra.db,SinglePartitionReadCommand.Group,97,131,8,10,13,20,20,9,13,7
JaCoCo Ant Example,org.apache.cassandra.db,AbstractReadCommandBuilder.SinglePartitionSliceBuilder,47,0,0,0,8,0,4,0,4,0
JaCoCo Ant Example,org.apache.cassandra.db,CounterMutation.CounterMutationSerializer,41,3,0,0,8,1,3,1,3,1
JaCoCo Ant Example,org.apache.cassandra.db,SystemKeyspace.BootstrapState,0,44,0,0,0,5,0,1,0,1
JaCoCo Ant Example,org.apache.cassandra.db,ReadCommand.Kind,0,34,0,0,0,6,0,2,0,2
JaCoCo Ant Example,org.apache.cassandra.db,PartitionPosition.RowPositionSerializer,27,63,3,5,6,15,3,5,0,4
JaCoCo Ant Example,org.apache.cassandra.db,LegacyLayout.LegacyDeletionInfo,236,0,24,0,45,0,20,0,8,0
JaCoCo Ant Example,org.apache.cassandra.db,SinglePartitionReadCommand.Deserializer,0,30,0,0,0,3,0,1,0,1
JaCoCo Ant Example,org.apache.cassandra.db,Keyspace,980,370,127,33,180,92,103,24,28,19
JaCoCo Ant Example,org.apache.cassandra.db,Mutation,396,157,44,8,70,33,41,14,16,13
JaCoCo Ant Example,org.apache.cassandra.db,CounterMutationVerbHandler,26,7,0,0,6,2,1,2,1,2
JaCoCo Ant Example,org.apache.cassandra.db,CounterMutation,519,10,48,0,107,2,45,1,21,1
JaCoCo Ant Example,org.apache.cassandra.db,DiskBoundaryManager,49,205,17,21,8,36,15,10,1,5
JaCoCo Ant Example,org.apache.cassandra.db,Directories.DataDirectory,23,36,6,2,4,7,5,4,1,4
JaCoCo Ant Example,org.apache.cassandra.db,Slice.Serializer,50,3,0,0,8,1,3,1,3,1
JaCoCo Ant Example,org.apache.cassandra.db,Slice,298,167,76,22,46,30,54,15,8,12
JaCoCo Ant Example,org.apache.cassandra.db,ReadResponse.LegacyRemoteDataResponse,119,0,24,0,19,0,16,0,4,0
JaCoCo Ant Example,org.apache.cassandra.db,BlacklistedDirectories,85,43,10,0,27,11,13,5,8,5
JaCoCo Ant Example,org.apache.cassandra.db,SimpleBuilders.RowBuilder,296,152,59,19,39,37,42,12,4,10
